name,symbol,cmc_rank,last_updated,price,%_change_24h,%_change_7d,%_change_30d,%_change_60d,%_change_90d,market_cap
Enjin Coin,ENJ,66,2022-02-25 04:55,1.3777788566761857,9.69673189,-21.68086965,-14.38398285,-57.12906244,-63.40852975,1193548751.1929364
THORChain,RUNE,67,2022-02-25 04:55,3.5057874724987657,11.38809079,-15.72440761,-16.57985974,-55.56589462,-69.38794304,1159322062.731239
Amp,AMP,68,2022-02-25 04:55,0.026491289236749527,12.09118151,-11.64595159,-9.69382199,-47.94070002,-54.54891286,1118666272.4126463
Nexo,NEXO,69,2022-02-25 04:55,1.9377265078260917,16.29876204,-8.93746484,5.47873548,-21.16840519,-21.77470505,1085126865.697603
Kadena,KDA,70,2022-02-25 04:55,6.183230048484264,11.76898971,-15.03907546,11.93241927,-60.84491271,-65.8241569,1059110642.1523721
OKB,OKB,71,2022-02-25 04:55,17.11520574598581,3.63619116,-14.91458509,-23.36322536,-45.10341605,-28.21228701,1026912344.7591487
Waves,WAVES,72,2022-02-25 04:55,9.445631477276317,5.55807306,-5.96771691,-3.60074249,-41.95835378,-53.192353,1016185158.4681791
Curve DAO Token,CRV,73,2022-02-25 04:55,2.246690347888657,9.56769469,-23.76812228,-26.86689485,-60.6222798,-57.06944324,1013008480.1889385
Kusama,KSM,74,2022-02-25 04:55,118.49638530508562,3.22011548,-24.724204,-33.40059591,-63.27515847,-64.15770936,1003676002.9651822
Basic Attention Token,BAT,75,2022-02-25 04:55,0.6688319588667111,11.58489767,-13.21366725,-19.46996162,-51.3143338,-55.09458038,1000443010.5263005
Loopring,LRC,76,2022-02-25 04:55,0.7410464538957504,9.53262533,-17.91917425,-29.75834042,-69.05361228,-75.07997316,985290965.3072094
Chiliz,CHZ,77,2022-02-25 04:55,0.1642867777250451,5.79546382,-19.04969677,-7.46336267,-50.78964697,-64.14323348,981624670.5621276
Convex Finance,CVX,78,2022-02-25 04:55,18.78328443114514,6.51023134,-29.76317582,-33.26763456,-55.94694324,-28.01477741,969750823.0957884
Celo,CELO,80,2022-02-25 04:55,2.290420084901146,3.96234213,-19.69560157,-27.44842813,-55.34032926,-52.82681106,933314464.5694611
Dash,DASH,81,2022-02-25 04:55,87.79279809265572,7.51337472,-17.48745487,-4.38557922,-41.70864205,-52.54460681,930071660.7262617
Arweave,AR,82,2022-02-25 04:55,27.72533893496894,13.80760047,-9.48063587,-17.61124837,-56.45098196,-54.02422883,925879403.8569461
Anchor Protocol,ANC,83,2022-02-25 04:55,3.408758866983354,22.89704299,69.43233033,108.85639399,-14.288883,8.50963802,873248855.5199354
Theta Fuel,TFUEL,84,2022-02-25 04:55,0.16381953359855567,14.46438676,-18.98052382,21.8853137,-32.23949251,-47.13986171,868442470.5139471
NEM,XEM,85,2022-02-25 04:55,0.09348753313337027,6.13010518,-11.72025046,-6.64161418,-33.75047274,-43.35338801,841387798.1068449
